Corr-Diag Corr-Full Corr-Swap Data Epoch Loss MMD-Full MMD-Swap Mean
0.09948424994945526 0.9565767049789429 0.8119056820869446 train 0.0 1.1301983132958413 0.6044023916125297 0.44891891330480577 0.1959991455078125
0.11015146225690842 1.0039681196212769 0.8080917000770569 test 0.0 1.0803858041763306 0.5984193086624146 0.42450037598609924 0.16139568388462067
0.16648638248443604 0.9639644026756287 0.7230378985404968 train 1.0 0.9116916298866272 0.474266043305397 0.36230786740779874 0.16730917990207672
0.17100155353546143 0.9570854902267456 0.7131938934326172 test 1.0 0.8256075382232666 0.44186729192733765 0.30780625343322754 0.1781798005104065
0.18905414640903473 0.9255997538566589 0.6676667928695679 train 2.0 0.7614491581916809 0.39936412796378135 0.29211868308484557 0.1451006531715393
0.18835413455963135 0.9273633360862732 0.6649108529090881 test 2.0 0.7796066999435425 0.37801799178123474 0.3291754424571991 0.1492719054222107
0.19632796943187714 0.8800185322761536 0.6372144818305969 train 3.0 0.6771143063902855 0.35042213201522826 0.25987369306385516 0.12400985509157181
0.1954374611377716 0.8795870542526245 0.635064423084259 test 3.0 0.5752660632133484 0.33301639556884766 0.17743363976478577 0.12404951453208923
0.2017136663198471 0.8592630624771118 0.6160363554954529 train 4.0 0.5945567399263382 0.3125408664345741 0.22017643824219704 0.10702996701002121
0.20135264098644257 0.8592714071273804 0.6130418181419373 test 4.0 0.6092187166213989 0.29969173669815063 0.2507237493991852 0.10597214102745056
0.20816819369792938 0.8313232660293579 0.5932888388633728 train 5.0 0.5392889715731144 0.28217185437679293 0.20094368364661933 0.09079651534557343
0.20788629353046417 0.8327410817146301 0.5909565687179565 test 5.0 0.48374930024147034 0.26937904953956604 0.16059331595897675 0.08924437314271927
0.2139476239681244 0.8069296479225159 0.5744690299034119 train 6.0 0.5010025054216385 0.2543176405131817 0.1947918212041259 0.07603560388088226
0.21363185346126556 0.8111914992332458 0.5728377103805542 test 6.0 0.5193520784378052 0.24229378998279572 0.2281961441040039 0.07446585595607758
0.21968817710876465 0.798190712928772 0.5594573020935059 train 7.0 0.44685504883527755 0.2296512510627508 0.1700922569260001 0.06431375443935394
0.21999238431453705 0.7995957732200623 0.5560184121131897 test 7.0 0.47334349155426025 0.21897876262664795 0.21018792688846588 0.062027834355831146
0.2259049117565155 0.783345103263855 0.5438011288642883 train 8.0 0.4156787618994713 0.20751051753759384 0.16532361283898353 0.05343439802527428
0.2263537347316742 0.7823309898376465 0.5400004386901855 test 8.0 0.3443177044391632 0.19680339097976685 0.10767902433872223 0.05049663782119751
0.23382742702960968 0.7609171867370605 0.5256226062774658 train 9.0 0.36976438388228416 0.18793917931616305 0.14310375284403562 0.04378097504377365
